Porosity,Mat. Young Modulus,Ultimate Strength,Mat. Fracture Strain,Young Modulus,Yield Strength,Fracture Strength,Fracture Strain,Toughness,Strain Rate
50.1299,1673,46,51,156.4692,7.8991,8.8647,14.6261,0.9781,0.004903329
53.6032,1673,46,51,150.447,6.681,7.3115,15.733,0.9167,0.004902901
54.1368,1673,46,51,145.7086,6.7121,7.2203,17.5598,1.0709,0.004905214
55.3306,1673,46,51,145.8196,6.8691,7.7197,15.4372,0.9346,0.004904694
58.9075,1673,46,51,118.75,5.1103,6.2712,15.6534,0.755,0.004904401
59.6943,1673,46,51,118.0663,5.0029,5.8943,17.5299,0.8337,0.004898127
60.038,1673,46,51,112.9525,5.1115,5.7409,16.9393,0.7831,0.004903026
64.0037,1673,46,51,87.6952,3.7522,4.373,17.6569,0.6229,0.004902381
64.6911,1673,46,51,86.7517,3.9601,4.5375,20.6394,0.7704,0.004902726
70.244,1673,46,51,52.9934,2.189,2.7768,20.6157,0.4533,0.00490223
71.777,1673,46,51,48.5745,2.0642,2.5752,21.3986,0.4393,0.004902288
72.5367,1673,46,51,49.9336,2.0954,2.7037,22.9238,0.4892,0.00490233
49.3379,4100,69,5.3,321.8843,6.4623,7.7098,2.9703,0.1279,0.004916506
52.8755,4100,69,5.3,276.7238,4.4577,6.2078,3.1028,0.1112,0.00491283
64.4733,4100,69,5.3,197.8053,4.487,4.5539,2.8879,0.0744,0.004912397
68.3443,4100,69,5.3,174.0714,2.8312,2.9018,1.9384,0.0306,0.004916873
73.2157,4100,69,5.3,113.6018,2.3511,2.4413,3.013,0.0444,0.004911673
77.6195,4100,69,5.3,64.3235,0.9109,1.0546,4.2281,0.0322,0.004908855
50.2079,4100,69,5.3,408.8901,5.826,7.7173,2.2462,0.0947,0.004916865
56.3058,4100,69,5.3,343.0136,5.2213,6.6515,2.2795,0.0821,0.004917
60.2995,4100,69,5.3,344.81,4.1544,4.2907,1.5767,0.036,0.004921948
60.9894,4100,69,5.3,292.5032,4.9107,5.7541,2.4893,0.0806,0.004908788
64.0555,4100,69,5.3,219.2449,3.7187,4.6658,2.4605,0.0629,0.004923405
64.6994,4100,69,5.3,212.0308,3.9845,4.6472,2.4351,0.0605,0.00491502
68.4861,4100,69,5.3,161.2527,2.7542,3.1316,2.1114,0.0351,0.004914361
73.1391,4100,69,5.3,120.1381,1.2606,2.1507,1.8946,0.0212,0.00492088
73.5645,4100,69,5.3,136.8327,1.4929,1.7102,1.3759,0.0127,0.004917629
78.7233,4100,69,5.3,87.9358,1.7884,1.9684,2.9857,0.0348,0.004911598
79.2599,4100,69,5.3,100.6086,1.7123,1.9141,2.409,0.0264,0.004913152
48.5098,1500,33,51,159.3538,6.3123,7.7623,31.1716,2.0266,0.004902961
49.1106,1500,33,51,146.9875,6.3561,7.7653,35.0438,2.2927,0.004902677
49.4066,1500,33,51,144.085,6.6162,7.9387,31.738,2.111,0.004902434
54.3808,1500,33,51,124.5643,5.3063,6.0329,25.2769,1.2819,0.004902203
60.7996,1500,33,51,90.5701,3.7411,5.3018,40.4263,1.6908,0.004902112
61.502,1500,33,51,93.5709,3.8706,4.4176,16.4327,0.5838,0.004902197
61.8112,1500,33,51,94.8679,3.9035,4.956,30.455,1.2294,0.004902376
63.1674,1500,33,51,71.2914,2.9528,3.8913,30.9875,0.9631,0.004902168
64.1437,1500,33,51,69.9032,3.1137,3.952,27.6644,0.8757,0.004902294
68.6408,1500,33,51,51.3451,2.0924,3.0164,30.9555,0.7221,0.004902057
69.7541,1500,33,51,47.905,2.1231,3.0817,34.9404,0.8321,0.00490222
69.8601,1500,33,51,47.8313,2.2892,3.3004,36.3647,0.9259,0.004902335
75.8504,1500,33,51,44.0043,1.6768,1.8594,10.4158,0.1443,0.004902344
76.0845,1500,33,51,45.5873,1.9283,2.7407,32.6876,0.6979,0.004902191
80.0383,1500,33,51,30.7477,1.226,1.4119,12.2754,0.1295,0.004902146
81.9909,1500,33,51,31.015,0.9181,1.0596,9.5617,0.0771,0.004902365
81.9909,1500,33,51,32.456,1.2387,1.456,13.5146,0.1526,0.004902105
58.9824,2200,46,48,132.6175,5.3245,6.4249,29.2059,1.5751,0.004902606
66.9813,2200,46,48,79.9379,2.9068,4.1045,34.7929,1.1354,0.004902453
78.6317,2200,46,48,53.2546,1.8974,2.4683,25.5611,0.5051,0.004902242
86.2089,2200,46,48,35.0387,1.2991,1.4258,16.5947,0.1997,0.004902378
47.5723,2200,46,48,187.3851,8.5302,9.2218,19.5288,1.5326,0.004903051
49.1577,2200,46,48,171.7667,8.2498,8.6884,19.3529,1.4311,0.004903032
